Supplementary Materials: Binding data for rapamycin regulatory network																
ORF	Gene name	Description	Binding p-values													
			DAL80 Rapamycin	DAL81 Rapamycin	DAL82 Rapamycin	FHL1 Rapamycin	GCN4 Rapamycin	UGA3 Rapamycin	RTG1 Rapamycin	RTG3 Rapamycin	MSN2 Rapamycin	MSN4 Rapamycin	GAT1 Rapamycin	HAP2 Rapamycin	GLN3 Rapamycin	GZF3 Rapamycin
YBL057C	YBL057C	strong similarity to hypothetical S.pombe protein	0.641	0.818	0.844	0.528	0.591	0.414	0.574	0.583	0.459	0.481	0.628	0.642	0.796	0.345
YBL058W	SHP1	potential regulatory subunit for GLC7P	0.666	NaN	0.575	0.581	0.655	0.748	0.286	0.519	0.624	0.415	0.583	0.283	0.545	0.413
YBL059C-A	YBL059C-A	weak similarity to hypothetical protein SPBC21D10.07 S. pombe	0.666	NaN	0.575	0.581	0.655	0.748	0.286	0.519	0.624	0.415	0.583	0.283	0.545	0.413
YBL059W	YBL059W	weak similarity to hypothetical protein YER093c-a	0	0.001	0	0.081	0.309	0.096	0.002	0.006	0	0	0.078	0.064	0.127	0.127
YBL060W	YBL060W	"weak similarity to probable guanine nucleotide exchange factor, S.pombe"	0.275	0.505	0.412	0.365	0.261	0.43	0.15	0.06	0.242	0.191	0.501	0.727	0.529	0.37
YBL061C	SKT5	protoplast regeneration and killer toxin resistance protein	0.275	0.505	0.412	0.365	0.261	0.43	0.15	0.06	0.242	0.191	0.501	0.727	0.529	0.37
YBL062W	YBL062W	questionable ORF	0.201	0.444	0.466	0.343	0.72	0.338	0.467	0.34	0.274	0.225	0.176	0.178	0.632	0.09
YBL063W	KIP1	kinesin-related protein	0.677	0.637	0.846	0.498	0.826	0.804	0.797	0.89	0.742	0.775	0.774	0.857	0.598	0.755
YBL064C	YBL064C	strong similarity to thiol-specific antioxidant enzyme	0.677	0.637	0.846	0.498	0.826	0.804	0.797	0.89	0.742	0.775	0.774	0.857	0.598	0.755
YBL065W	YBL065W	questionable ORF	0.533	0.769	0.735	0.778	0.919	0.895	0.671	0.671	0.658	0.72	0.666	0.666	0.567	0.501
YBL066C	SEF1	putative transcription factor	0.508	0.599	0.668	0.341	0.506	0.772	0.495	0.629	0.483	0.538	0.364	0.415	0.56	0.484
YBL067C	UBP13	ubiquitin carboxyl-terminal hydrolase	0.533	0.769	0.735	0.778	0.919	0.895	0.671	0.671	0.658	0.72	0.666	0.666	0.567	0.501
YBL068W	PRS4	ribose-phosphate pyrophosphokinase 3	0.422	0.907	0.76	0.316	0.179	0.367	0.385	0.351	0.428	0.459	0.701	0.668	0.523	0.3
YBL069W	AST1	PMA1 protein targeting protein	0.551	0.657	0.587	0.917	0.837	0.989	0.716	0.716	0.845	0.546	0.872	0.88	0.917	0.957
YBL070C	YBL070C	questionable ORF	0.422	0.907	0.76	0.316	0.179	0.367	0.385	0.351	0.428	0.459	0.701	0.668	0.523	0.3
YBL071C	YBL071C	hypothetical protein	0.551	0.657	0.587	0.917	0.837	0.989	0.716	0.716	0.845	0.546	0.872	0.88	0.917	0.957
YBL072C	RPS8A	ribosomal protein S8.e	0.736	0.9	0.764	0	0.913	0.997	0.889	0.84	0.951	0.963	0.986	0.987	0.973	0.947
YBL073W	YBL073W	questionable ORF	0.358	0.378	0.463	0.622	0.762	0.777	0.653	0.547	0.739	0.427	0.709	0.573	0.679	0.857
YBL074C	AAR2	A1 cistron splicing factor	0.908	0.78	0.636	0.097	0.817	0.745	0.754	0.776	0.861	0.815	0.539	0.459	0.751	0.817
YBL075C	SSA3	"heat shock protein of HSP70 family, cytosolic"	0.358	0.378	0.463	0.622	0.762	0.777	0.653	0.547	0.739	0.427	0.709	0.573	0.679	0.857
YBL076C	ILS1	isoleucyl-tRNA synthetase	0.289	0.276	0.27	NaN	0.001	0.662	0.218	0.037	0.224	0.509	0.59	0.536	0.7	0.745
YBL077W	YBL077W	questionable ORF	0.553	0.222	0.832	0.888	0.709	0.626	0.615	0.428	0.822	0.88	0.438	0.345	0.306	0.731
YBL078C	AUT7	essential for autophagy	0.553	0.222	0.832	0.888	0.709	0.626	0.615	0.428	0.822	0.88	0.438	0.345	0.306	0.731
YBL079W	NUP170	nuclear pore protein	0.185	NaN	0.39	0.815	0.824	0.924	0.391	0.56	0.63	0.584	0.487	0.625	0.706	0.703
YBL080C	PET112	required to maintain rho+ mitochondrial DNA	0.185	NaN	0.39	0.815	0.824	0.924	0.391	0.56	0.63	0.584	0.487	0.625	0.706	0.703
YBL081W	YBL081W	hypothetical protein	0.473	0.805	0.649	0.172	0.527	0.786	0.595	0.762	0.892	0.708	0.888	0.876	0.907	0.878
YBL082C	RHK1	mannosyltransferase	0.473	0.805	0.649	0.172	0.527	0.786	0.595	0.762	0.892	0.708	0.888	0.876	0.907	0.878
YBL083C	YBL083C	questionable ORF	0.473	0.805	0.649	0.172	0.527	0.786	0.595	0.762	0.892	0.708	0.888	0.876	0.907	0.878
YBL084C	CDC27	subunit of anaphase-promoting complex (cyclosome)	0.572	0.886	0.714	0.796	0.905	0.941	0.472	0.834	0.878	0.88	0.906	0.702	0.901	0.808
YBL085W	BOI1	BEM1 protein-binding protein	0.251	0.336	0.515	0.296	0.638	0.31	0.37	0.404	0.295	0.634	0.569	0.452	0.513	0.379
YBL086C	YBL086C	weak similarity to S. pombe hypothetical protein	0.251	0.336	0.515	0.296	0.638	0.31	0.37	0.404	0.295	0.634	0.569	0.452	0.513	0.379
YBL087C	RPL23A	60S large subunit ribosomal protein L23.e	0.311	0.414	0.499	0	0.361	0.349	0.703	0.607	0.71	0.691	0.474	0.782	0.565	0.439
YBL088C	TEL1	telomere length control protein	0.35	0.61	0.496	0.293	0.317	0.526	0.147	0.274	0.27	0.35	0.489	0.483	0.538	0.426
YBL089W	YBL089W	weak similarity to A.thaliana aminoacid permease AAP3	0.325	0.614	0.388	0.601	0.845	0.513	0.456	0.663	0.382	0.602	0.455	0.456	0.5	0.394
YBL090W	MRP21	Mitochondrial ribosomal protein	0.04	0.115	0.215	0.334	0.527	0.087	0.071	0.199	0.062	0.211	0.462	0.117	0.287	0.209
YBL091C	MAP2	"methionine aminopeptidase, isoform 2"	0.04	0.115	0.215	0.334	0.527	0.087	0.071	0.199	0.062	0.211	0.462	0.117	0.287	0.209
YBL091C-A	YBL091C-A	weak similarity to SCS2	0.391	0.553	0.753	0.553	0.931	0.732	0.685	0.805	0.472	0.793	0.67	0.522	0.725	0.575
YBL092W	RPL32	60S large subunit ribosomal protein L32.e	0.416	0.52	0.59	0	0.941	0.775	0.774	0.715	0.642	0.758	0.755	0.629	0.75	0.616
YBL093C	ROX3	transcription factor	0.416	0.52	0.59	0	0.941	0.775	0.774	0.715	0.642	0.758	0.755	0.629	0.75	0.616
YBL094C	YBL094C	questionable ORF	0.794	0.668	0.645	0.578	0.868	0.447	0.773	0.507	0.471	0.71	0.479	0.511	0.631	0.466
YBL095W	YBL095W	similarity to C.albicans hypothetical protein	0.341	0.328	0.388	0.185	0.254	0.239	0.229	0.117	0.055	0.214	0.302	0.206	0.239	0.193
YBL096C	YBL096C	questionable ORF	0.794	0.668	0.645	0.578	0.868	0.447	0.773	0.507	0.471	0.71	0.479	0.511	0.631	0.466
YBL097W	BRN1	functional homologue of human BRRN1	0.285	0.357	0.376	0.508	0.253	0.083	0.089	0.16	0.125	0.157	0.182	0.151	0.258	0.065
YBL098W	YBL098W	similarity to human and D.melanogaster kynurenine 3-monooxygenase	0.352	0.501	0.264	0.237	0.127	0.059	0.3	0.155	0.234	0.259	0.25	0.41	0.371	0.204
YBL099W	ATP1	"F1F0-ATPase complex, F1 alpha subunit"	0.844	0.258	0.46	0.42	0.494	0.449	0.782	0.696	0.729	0.737	0.189	0.006	0.035	0.698
YBL100C	YBL100C	questionable ORF	0.352	0.501	0.264	0.237	0.127	0.059	0.3	0.155	0.234	0.259	0.25	0.41	0.371	0.204
YBL101C	ECM21	involved in cell wall biogenesis and architecture	0.366	0.43	0.466	0.633	0.525	0.729	0.71	0.488	0.54	0.668	0.692	0.615	0.695	0.587
YBL101W-A	#REF!		0.366	0.43	0.466	0.633	0.525	0.729	0.71	0.488	0.54	0.668	0.692	0.615	0.695	0.587
YBL101W-B	#REF!		0.431	0.813	0.509	0.597	0.883	0.626	0.576	0.438	0.71	0.618	0.704	0.525	0.768	0.456
YBL102W	SFT2	suppressor of SED5 ts mutants	0.565	0.509	0.682	0.578	0.001	0.454	0.323	0.151	0.596	0.717	0.7	0.596	0.783	0.477
YBL103C	RTG3	bHLH/zip transcription factor that regulates CIT2 gene expression	0.565	0.509	0.682	0.578	0.001	0.454	0.323	0.151	0.596	0.717	0.7	0.596	0.783	0.477
YBL104C	YBL104C	weak similarity to S.pombe hypothetical protein SPAC12G12.01c	0.012	0.014	0.015	0.289	0.123	0.083	0.008	0.002	0.003	0.001	0.245	0.199	0.127	0.098
YBL105C	PKC1	ser/thr protein kinase	0.388	0.798	0.858	0.653	0.706	0.519	0.454	0.594	0.468	0.709	0.748	0.704	0.87	0.827
YBL106C	SRO77	polarized exocytosis by regulating SNARE function	0.533	0.695	0.599	0.743	0.628	0.233	0.294	0.409	0.666	0.389	0.554	0.458	0.483	0.481
YBL107C	YBL107C	hypothetical protein	0.421	0.234	0.4	0.593	0.779	0.476	0.877	0.919	0.454	0.447	0.632	0.798	0.562	0.365
YBL107W-A	YBL107W-A	questionable ORF - identified by SAGE	0.79	0.259	0.78	0.186	0.129	0.288	0.538	0.079	0.347	0.338	0.013	0.029	0.011	0.068
YBL108W	YBL108W	strong similarity to subtelomeric encoded proteins	0.234	0.812	0.529	0.927	0.81	0.957	0.94	0.9	0.931	0.868	0.931	0.955	0.914	0.411
YBL109W	YBL109W	similarity to subtelomeric encoded proteins	0.001	0.669	0.058	0.204	0.045	0.001	0.989	0.987	0.973	0.156	0.962	0.996	0.794	0.001
YBL111C	YBL111C	strong similarity to subtelomeric encoded proteins	0.001	0.669	0.058	0.204	0.045	0.001	0.989	0.987	0.973	0.156	0.962	0.996	0.794	0.001
YBL112C	YBL112C	strong similarity to subtelomeric encoded proteins	0.001	0.669	0.058	0.204	0.045	0.001	0.989	0.987	0.973	0.156	0.962	0.996	0.794	0.001
YBL113C	YBL113C	similarity to Y' ORFs	0.001	0.669	0.058	0.204	0.045	0.001	0.989	0.987	0.973	0.156	0.962	0.996	0.794	0.001
YBR001C	NTH2	"alpha,alpha-trehalase"	0.984	0.982	NaN	0.895	0.782	0.754	0.62	0.965	0.911	0.925	0.941	0.882	0.89	0.836
YBR002C	RER2	"cis-prenyltransferase, a key enzyme in dolichol synthesis"	0.448	0.65	0.721	0.746	0.739	0.346	0.325	0.432	0.521	0.749	0.743	0.446	0.699	0.358
YBR003W	COQ1	hexaprenyl pyrophosphate synthetase precursor	0.448	0.65	0.721	0.746	0.739	0.346	0.325	0.432	0.521	0.749	0.743	0.446	0.699	0.358
YBR004C	YBR004C	similarity to S.pombe hypothetical protein SPAC18B11.05	0.203	0.214	0.312	0.363	0.615	0.222	0.417	0.173	0.232	0.406	0.127	0.168	0.142	0.122
YBR005W	YBR005W	strong similarity to hypothetical protein YDR003w	0.203	0.214	0.312	0.363	0.615	0.222	0.417	0.173	0.232	0.406	0.127	0.168	0.142	0.122
YBR006W	UGA2	succinate semialdehyde dehydrogenase	0.388	0.076	0.221	0.704	0.592	0.011	0.452	0.575	0.511	0.767	0.414	0.095	0.262	0.683
YBR007C	YBR007C	hypothetical protein	0.404	0.137	0.374	0.421	0.131	0.899	0.852	0.646	0.57	0.828	0.779	0.831	0.536	0.912
YBR008C	FLR1	fluconazole resistance protein	0.323	0.031	0.126	0.439	0.341	0.105	0.331	0.235	0.264	0.398	0.074	0.126	0.151	0.506
YBR009C	HHF1	histone H4	0.888	0.347	0.334	0.656	0.678	0.462	0.799	0.667	0.458	0.796	0.269	0.423	0.406	0.783
YBR010W	HHT1	histone H3	0.888	0.347	0.334	0.656	0.678	0.462	0.799	0.667	0.458	0.796	0.269	0.423	0.406	0.783
YBR011C	IPP1	"inorganic pyrophosphatase, cytoplasmic"	0.504	0.787	0.773	0.641	0.513	0.436	0.556	0.67	0.744	0.809	0.817	0.747	0.785	0.674
YBR012C	YBR012C	hypothetical protein	NaN	NaN	0.75	0.968	0.74	0.572	0.147	0.932	0.001	0.001	0.696	0.46	0.682	NaN
YBR012W-A	#REF!		NaN	NaN	0.705	NaN	0.846	0.534	0.52	NaN	0.78	0.665	NaN	NaN	NaN	NaN
YBR012W-B	#REF!		NaN	NaN	0.705	NaN	0.846	0.534	0.52	NaN	0.78	0.665	NaN	NaN	NaN	NaN
YBR013C	YBR013C	hypothetical protein	NaN	NaN	0.75	0.968	0.74	0.572	0.147	0.932	0.001	0.001	0.696	0.46	0.682	NaN
YBR014C	YBR014C	similarity to glutaredoxin	0.495	0.677	0.49	0.435	0.333	0.541	0.446	0.738	0.802	0.664	0.442	0.754	0.661	0.541
YBR015C	MNN2	type II membrane protein	0.815	0.755	0.732	0.496	0.488	0.838	0.861	0.852	0.894	0.903	0.803	0.896	0.835	0.673
YBR016W	YBR016W	strong similarity to hypothetical proteins YDL012c and YDR210w	0.815	0.755	0.732	0.496	0.488	0.838	0.861	0.852	0.894	0.903	0.803	0.896	0.835	0.673
YBR017C	KAP104	beta-karyopherin	0.462	0.815	0.873	0.588	0.278	0.682	0.445	0.848	0.745	0.434	0.742	0.818	0.766	0.494
YBR018C	GAL7	UDP-glucose--hexose-1-phosphate uridylyltransferase	0.472	0.403	0.68	0.385	0.542	0.559	0.384	0.749	0.745	0.426	0.71	0.863	0.835	0.503
YBR019C	GAL10	UDP-glucose 4-epimerase	0.917	0.672	0.691	0.058	0.624	0.675	0.804	0.85	0.923	0.838	0.784	0.854	0.791	0.829
YBR020W	GAL1	galactokinase	0.917	0.672	0.691	0.058	0.624	0.675	0.804	0.85	0.923	0.838	0.784	0.854	0.791	0.829
YBR021W	FUR4	uracil permease	0.03	0.089	0.079	0.021	0.106	0.139	0.232	0.24	0.504	0.164	0.107	0.377	0.076	0.225
YBR022W	YBR022W	weak similarity to hypothetical protein Mycobacterium tuberculosis	0.475	NaN	0.38	0.356	0.618	0.608	0.373	0.267	0.328	0.452	0.385	0.364	0.131	0.229
YBR023C	CHS3	chitin synthase III	0.653	0.663	0.278	0.618	0.556	0.761	0.495	0.632	0.461	0.687	0.831	0.796	0.863	0.702
YBR024W	SCO2	involved in stability of COX1P and COX2P	0.653	0.663	0.278	0.618	0.556	0.761	0.495	0.632	0.461	0.687	0.831	0.796	0.863	0.702
YBR025C	YBR025C	strong similarity to Ylf1p	0.226	0.348	0.387	0.84	0.898	0.791	0.712	0.611	0.418	0.601	0.365	0.483	NaN	0.409
YBR026C	(MRF1)	mitochondrial respiratory function protein	0.479	0.349	0.479	0.717	0.656	0.838	0.923	0.484	0.247	0.408	0.523	0.545	0.556	0.451
YBR027C	YBR027C	hypothetical protein	0.479	0.349	0.479	0.717	0.656	0.838	0.923	0.484	0.247	0.408	0.523	0.545	0.556	0.451
YBR028C	YBR028C	similarity to ribosomal protein kinases	0.343	0.306	0.269	0.137	0.036	0.124	0.092	0.04	0.124	0.115	0.255	0.189	0.346	0.111
YBR029C	CDS1	CDP-diacylglycerol synthase	0.2	0.849	0.511	0.387	0.442	0.828	0.568	0.434	0.75	0.842	0.739	0.759	0.903	0.742
YBR030W	YBR030W	"weak similarity to,regulatory protein MSR1P"	0.2	0.849	0.511	0.387	0.442	0.828	0.568	0.434	0.75	0.842	0.739	0.759	0.903	0.742
YBR031W	RPL4A	ribosomal protein	0.586	0.669	0.853	0.813	0.818	0.915	0.863	0.902	0.917	0.837	0.831	0.743	0.924	0.793
YBR032W	YBR032W	hypothetical protein	0.965	0.852	0.877	0.639	0.799	0.905	0.912	0.943	0.897	0.821	0.891	0.847	0.906	0.909
YBR033W	YBR033W	weak similarity to transcription factors	NaN	0.731	0.562	0.686	0.572	0.808	0.629	0.633	0.786	0.764	0.903	0.751	0.9	0.69
YBR034C	HMT1	hnRNP methyltransferase	0.474	0.571	0.672	0.2	0.317	0.133	0.514	0.67	0.446	0.422	0.311	0.519	0.206	0.226
YBR035C	PDX3	pyridoxamine-phosphate oxidase	0.695	0.61	0.786	0.748	0.031	0.725	0.788	0.826	0.797	0.8	0.748	0.77	0.855	0.867
YBR036C	CSG2	calcium dependent regulatory protein	0.491	0.491	0.682	0.948	0.418	0.64	0.468	0.571	0.554	0.768	0.592	0.591	0.732	0.77
YBR037C	SCO1	involved in stabilization of COX1P and COX2P	0.773	0.461	0.547	0.434	0.029	0.323	0.368	0.694	0.421	0.423	0.296	0.579	0.229	0.582
YBR038W	CHS2	chitin synthase II	0.773	0.461	0.547	0.434	0.029	0.323	0.368	0.694	0.421	0.423	0.296	0.579	0.229	0.582
YBR039W	ATP3	"F1F0-ATPase complex, F1 gamma subunit"	0.595	0.839	0.852	0.488	0.461	0.206	0.526	0.67	0.47	0.561	0.393	0.005	0.283	0.46
YBR040W	FIG1	required for efficient mating	0.68	0.891	0.59	0.338	0.388	0.026	0.02	0.31	0.043	0.021	0.351	0.36	0.149	0.065
YBR041W	FAT1	very long-chain fatty acyl-CoA synthetase	0.126	0.314	NaN	0.334	0.569	0.249	0.012	0.042	0.009	0.013	0.374	0.352	0.404	0.196
YBR042C	CST26	weak similarity to 1-acyl-sn-glycerol-3-phosphate acyltransferase from Brassica napus	0.459	0.179	0.271	0.247	0.397	0.059	0.18	0.172	0.304	0.139	0.166	0.05	0.207	0.194
YBR043C	YBR043C	similarity to benomyl/methotrexate resistance protein	0.827	0	0.618	0.473	0	0.244	0.732	0.2	0.473	0.424	0.052	0.295	0.002	0.441
YBR044C	TCM62	chaperone required for assembly of mitochondrial succinate dehydrogenase	0.765	0.523	0.665	0.824	0.797	0.49	0.665	0.843	0.659	0.688	0.657	0.734	0.826	0.81
YBR045C	GIP1	GLC7-interacting protein	0.207	0.178	0.106	0.06	0.03	0.005	0.049	0.018	0.024	0.022	0.119	0.108	0.127	0.078
YBR046C	ZTA1	similarity to zeta-crystallin	0.307	0.169	0.53	0.049	0	0.25	0.462	0.387	0.479	0.8	0.351	0.436	0.283	0.771
YBR047W	YBR047W	hypothetical protein	0.307	0.169	0.53	0.049	0	0.25	0.462	0.387	0.479	0.8	0.351	0.436	0.283	0.771
YBR048W	RPS11B	ribosomal protein S11.e.B	0.131	0.358	0.072	0	0.203	0.003	0.427	0.476	0.227	0.1	0.072	0.062	0.071	0.05
YBR049C	REB1	transcription factor	0.348	0.524	0.583	0.304	0.55	0.421	0.383	0.261	0.419	0.601	0.458	0.444	0.534	0.668
YBR050C	REG2	regulatory subunit of type I protein phosphatase	0.532	0.529	0.51	0.78	0.879	0.735	0.731	0.815	0.453	0.76	0.711	0.527	0.717	0.558
YBR051W	YBR051W	questionable ORF	0.348	0.524	0.583	0.304	0.55	0.421	0.383	0.261	0.419	0.601	0.458	0.444	0.534	0.668
YBR052C	YBR052C	strong similarity to S.pombe brefeldin A resistance protein obr1	0.099	0.085	0.186	0.893	0.906	0.775	0.464	0.603	0.331	0.515	0.564	0.743	0.852	0.544
YBR053C	YBR053C	similarity to rat regucalcin	0.253	0.015	0.131	0.572	0.641	0.536	0.54	0.496	0.262	0.642	0.457	0.278	0.267	0.646
YBR054W	YRO2	strong similarity to HSP30 heat shock protein Yro1p	0.399	0.002	0.365	0.302	0.008	0.299	0.541	0.471	0.412	0.391	0.337	0.437	0.172	0.567
YBR055C	PRP6	snRNP(U4/U6)-associated splicing factor	0.511	0.542	0.799	0.794	0.581	0.242	0.848	0.742	0.579	0.684	0.344	0.158	0.263	0.651
YBR056W	YBR056W	"similarity to glucan 1,3-beta-glucosidase"	0.832	0.455	0.799	0.895	0.94	0.774	0.896	0.804	0.807	0.523	0.273	0.468	0.399	0.795
YBR057C	MUM2	meiotic protein	0.004	0.402	0.368	0.804	0.86	0.568	0.99	0.967	0.952	0.366	0.984	0.996	0.781	0.424
YBR058C	UBP14	ubiquitin specific protease	0.524	0.483	0.394	0.186	0.216	0.611	0.336	0.205	0.309	0.159	0.458	0.43	0.386	0.525
YBR058C-A	TSC3	required for optimal serine palmitoyltransferase activity	0.38	0.555	0.702	0.797	0.488	0.886	0.499	0.555	0.701	0.395	0.678	0.731	0.535	0.709
YBR059C	AKL1	Ark-family Kinase-Like protein	0.38	0.555	0.702	0.797	0.488	0.886	0.499	0.555	0.701	0.395	0.678	0.731	0.535	0.709
YBR060C	ORC2	"origin recognition complex, 72 kDa subunit"	0.183	0.649	0.327	0.365	0.51	0.813	0.311	0.209	0.552	0.4	0.823	0.786	0.822	0.419
YBR061C	YBR061C	similarity to E.coli ftsJ protein	0.316	0.119	0.141	0.079	0.362	0.336	0.113	0.164	0.206	0.122	0.096	0.088	0.081	0.058
YBR062C	YBR062C	similarity to rat neurodegeneration associated protein 1	NaN	0.952	0.733	0.644	0.728	0.741	0.553	0.812	0.718	0.513	0.81	0.896	0.862	0.473
YBR063C	YBR063C	hypothetical protein	0.527	0.334	0.454	0.375	0.37	0.509	0.178	0.234	0.326	0.201	0.624	0.316	0.485	0.21
YBR064W	YBR064W	questionable ORF	NaN	0.952	0.733	0.644	0.728	0.741	0.553	0.812	0.718	0.513	0.81	0.896	0.862	0.473
YBR065C	ECM2	involved in cell wall biogenesis and architecture	0.318	0.428	0.393	0.257	0.034	0.204	0.077	0.13	0.185	0.089	0.236	0.221	0.329	0.199
YBR066C	NRG2	weak similarity to A.niger carbon catabolite repressor protein	0.896	0.61	0.858	0.61	0.687	0.95	0.852	0.819	0.714	0.881	0.79	0.807	0.867	0.883
YBR067C	TIP1	esterase	0.976	0.455	0.907	0.871	0.76	0.995	0.96	0.777	0.944	0.937	0.948	0.989	0.86	0.992
YBR068C	BAP2	"leucine permease, high-affinity (S1)"	0.98	0.153	0.652	0.308	0.002	0.899	0.9	0.405	0.906	0.919	0.645	0.894	0.718	0.918
YBR069C	TAT1	amino acid permease	0.346	0.014	0.161	0.74	0.613	0.923	0.741	0.784	0.753	0.796	0.651	0.751	0.801	0.74
YBR070C	SAT2	osmotolerance protein	0.565	0.302	0.363	0.674	0.497	0.62	0.449	0.371	0.384	0.478	0.585	0.687	0.465	0.665
YBR071W	YBR071W	hypothetical protein	0.565	0.302	0.363	0.674	0.497	0.62	0.449	0.371	0.384	0.478	0.585	0.687	0.465	0.665
YBR072W	HSP26	heat shock protein	0.506	0.725	0.684	0.542	0.8	0.761	0.77	0.841	0.664	0.709	0.793	0.815	0.834	0.814
YBR073W	RDH54	required for mitotic diploid-specific recombination and repair and meiosis	0.776	0.713	0.742	0.739	0.627	0.566	0.525	0.416	0.465	0.421	0.64	0.589	0.551	0.418
YBR074W	YBR074W	weak similarity to aminopeptidase Y	0.33	0.413	0.293	0.755	0.817	0.714	0.53	0.549	0.435	0.486	0.549	0.409	0.676	0.423
YBR075W	YBR075W	weak similarity to hypothetical protein S. pombe	0.136	NaN	0.321	0.307	0.588	0.071	0.137	0.339	0.196	0.143	0.377	0.286	0.504	0.068
YBR076W	ECM8	involved in cell wall structure or biosynthesis	0.328	0.636	0.258	0.152	0.417	0.15	0.047	0.267	0.169	0.1	0.403	0.354	0.404	0.312
YBR077C	YBR077C	hypothetical protein	0.859	0.129	0.356	0.239	0.94	0.876	0.92	0.783	0.616	0.781	0.461	0.706	0.508	0.943
YBR078W	ECM33	involved in cell wall biogenesis and architecture	0.859	0.129	0.356	0.239	0.94	0.876	0.92	0.783	0.616	0.781	0.461	0.706	0.508	0.943
YBR079C	RPG1	translation initiation factor eIF3 (p110 subunit)	0.765	0.928	0.958	0.789	0.297	0.536	0.331	0.719	0.649	0.746	0.853	0.74	0.806	0.653
YBR080C	SEC18	"vesicular-fusion protein, functional homolog of NSF"	0.016	0.202	0.024	0.321	0.177	0.053	0.005	0.02	0.009	0.013	0.128	0.05	0.227	0.154
YBR081C	SPT7	involved in alteration of transcription start site selection	0.879	0.455	0.646	0.801	0.91	0.754	0.788	0.641	0.593	0.389	0.299	0.4	0.357	0.773
YBR082C	UBC4	E2 ubiquitin-conjugating enzyme	0.55	0.511	0.713	0.526	0.508	0.616	0.286	0.377	0.289	0.396	0.343	0.516	0.477	0.6
YBR083W	TEC1	Ty transcription activator	0.958	0.811	0.556	0.658	0.235	0.965	0.962	0.916	0.935	0.958	0.925	0.966	0.758	0.983
YBR084C-A	RPL19A	60S large subunit ribosomal protein L19.e	0.569	0.589	0.656	0	0.66	0.511	0.772	0.905	0.73	0.764	0.731	NaN	0.854	0.823
YBR084W	MIS1	"C1-tetrahydrofolate synthase precursor, mitochondrial"	0.325	0.651	0.535	0.082	0.752	0.369	0.33	0.747	0.454	0.583	0.644	0.454	0.678	0.694
YBR085C-A	YBR085C-A	hypothetical protein - identified by SAGE	0.555	0.52	0.85	0.551	0.027	0.68	0.915	0.696	0.594	0.815	0.608	0.786	0.318	0.931
YBR085W	AAC3	ADP/ATP carrier protein (MCF)	0.569	0.589	0.656	0	0.66	0.511	0.772	0.905	0.73	0.764	0.731	NaN	0.854	0.823
YBR086C	IST2	weak similarity to calcium and sodium channel proteins	0.009	0.014	0.001	0.263	0.551	0.051	0.018	0.1	0.003	0.026	0.161	0.105	0.253	0.224
YBR087W	RFC5	"DNA replication factor C, 40 KD subunit"	0.009	0.014	0.001	0.263	0.551	0.051	0.018	0.1	0.003	0.026	0.161	0.105	0.253	0.224
YBR088C	POL30	Proliferating Cell Nuclear Antigen (PCNA)	0.206	0.363	0.454	0.843	0.898	0.598	0.501	0.693	0.377	0.508	0.538	0.432	0.54	0.424
YBR089C-A	NHP6B	nonhistone chromosomal protein	0.234	0.209	0.464	0.873	0.98	0.935	0.75	0.477	0.723	0.658	0.611	0.33	0.595	0.693
YBR089W	YBR089W	questionable ORF	0.658	0.803	0.906	0.282	0.266	0.061	0.744	0.127	0.343	0.315	0.096	0.228	0.146	0.236
YBR090C	YBR090C	questionable ORF	0.234	0.209	0.464	0.873	0.98	0.935	0.75	0.477	0.723	0.658	0.611	0.33	0.595	0.693
YBR091C	MRS5	subunit of the TIM22-complex	0.413	0.434	0.769	0.937	0.943	0.788	0.658	0.897	0.702	0.931	0.778	0.506	0.864	0.556
YBR092C	PHO3	constitutive acid phosphatase precursor	0.387	0.075	0.508	0.626	0.774	0.646	0.451	0.468	0.531	0.719	0.489	0.436	0.506	0.44
YBR093C	PHO5	repressible acid phosphatase precursor	0.1	0.207	0.084	0.84	0.885	0.657	0.37	0.497	0.27	0.517	0.482	0.264	0.538	0.453
YBR094W	YBR094W	weak similarity to pig tubulin-tyrosine ligase	0.1	0.207	0.084	0.84	0.885	0.657	0.37	0.497	0.27	0.517	0.482	0.264	0.538	0.453
YBR095C	YBR095C	weak similarity to hypothetical protein S. pombe	0.251	0.276	0.367	0.59	0.558	0.107	0.23	0.432	0.255	0.363	0.411	0.207	0.544	0.293
YBR096W	YBR096W	weak similarity to CG4660; D. melanogaster	0.251	0.276	0.367	0.59	0.558	0.107	0.23	0.432	0.255	0.363	0.411	0.207	0.544	0.293
YBR097W	VPS15	ser/thr protein kinase	0.23	0.562	NaN	0.292	0.366	0.016	0.223	0.295	0.143	0.191	0.385	0.245	0.297	0.223
YBR098W	MMS4	putative transcriptional (co)activator for DNA damage	0.22	0.4	0.388	0.937	0.8	0.266	0.287	0.387	0.268	0.387	0.428	0.147	0.211	0.224
YBR099C	YBR099C	weak similarity to T.brucei mitochondrion hypothetical protein 6	0.162	NaN	0.006	0.1	0.425	0.081	0.012	0.005	0.031	0.007	0.026	0.007	0.014	0.003
YBR100W	YBR100W	questionable ORF	0.22	0.4	0.388	0.937	0.8	0.266	0.287	0.387	0.268	0.387	0.428	0.147	0.211	0.224
